"id","zip_code","name_th","name_en","amphure_id","created_at","updated_at","deleted_at"
"120305","11140","บางใหญ่","Bang Yai","1203","9/8/2019 03:33:09","16/5/2022 06:31:31",
"120306","11140","บ้านใหม่","Ban Mai","1203","9/8/2019 03:33:09","16/5/2022 06:31:31",
"120401","11110","โสนลอย","Sano Loi","1204","9/8/2019 03:33:09","16/5/2022 06:31:31",
"120402","11110","บางบัวทอง","Bang Bua Thong","1204","9/8/2019 03:33:09","16/5/2022 06:31:31",
"120403","11110","บางรักใหญ่","Bang Rak Yai","1204","9/8/2019 03:33:09","16/5/2022 06:31:31",
"120404","11110","บางคูรัด","Bang Khu Rat","1204","9/8/2019 03:33:09","16/5/2022 06:31:31",
"120405","11110","ละหาร","Lahan","1204","9/8/2019 03:33:09","16/5/2022 06:31:31",
"120406","11110","ลำโพ","Lam Pho","1204","9/8/2019 03:33:09","16/5/2022 06:31:31",
"120407","11110","พิมลราช","Phimon Rat","1204","9/8/2019 03:33:09","16/5/2022 06:31:31",
"120408","11110","บางรักพัฒนา","Bang Rak Phatthana","1204","9/8/2019 03:33:09","16/5/2022 06:31:31",
"120501","11150","ไทรน้อย","Sai Noi","1205","9/8/2019 03:33:09","16/5/2022 06:31:31",
"120502","11150","ราษฎร์นิยม","Rat Niyom","1205","9/8/2019 03:33:09","16/5/2022 06:31:31",
"120503","11150","หนองเพรางาย","Nong Phrao Ngai","1205","9/8/2019 03:33:09","16/5/2022 06:31:31",
"120504","11150","ไทรใหญ่","Sai Yai","1205","9/8/2019 03:33:09","16/5/2022 06:31:31",
"120505","11150","ขุนศรี","Khun Si","1205","9/8/2019 03:33:09","16/5/2022 06:31:31",
"120506","11150","คลองขวาง","Khlong Khwang","1205","9/8/2019 03:33:09","16/5/2022 06:31:31",
"120507","11150","ทวีวัฒนา","Thawi Watthana","1205","9/8/2019 03:33:09","16/5/2022 06:31:31",
"120601","11120","ปากเกร็ด","Pak Kret","1206","9/8/2019 03:33:09","16/5/2022 06:31:31",
"120602","11120","บางตลาด","Bang Talat","1206","9/8/2019 03:33:09","16/5/2022 06:31:31",
"120603","11120","บ้านใหม่","Ban Mai","1206","9/8/2019 03:33:09","16/5/2022 06:31:31",
"120604","11120","บางพูด","Bang Phut","1206","9/8/2019 03:33:09","16/5/2022 06:31:31",
"120605","11120","บางตะไนย์","Bang Tanai","1206","9/8/2019 03:33:09","16/5/2022 06:31:31",
"120606","11120","คลองพระอุดม","Khlong Phra Udom","1206","9/8/2019 03:33:09","16/5/2022 06:31:31",
"120607","11120","ท่าอิฐ","Tha It","1206","9/8/2019 03:33:09","16/5/2022 06:31:31",
"120608","11120","เกาะเกร็ด","Ko Kret","1206","9/8/2019 03:33:09","16/5/2022 06:31:31",
